"Date","Open","High","Low","Close"
"31 Dec 2019","12247.10","12247.10","12151.80","12168.45"
"30 Dec 2019","12274.90","12286.45","12213.80","12255.85"
"27 Dec 2019","12172.90","12258.45","12157.90","12245.80"
"26 Dec 2019","12211.85","12221.55","12118.85","12126.55"
"24 Dec 2019","12269.25","12283.70","12202.10","12214.55"
"23 Dec 2019","12235.45","12287.15","12213.25","12262.75"
"20 Dec 2019","12266.45","12293.90","12252.75","12271.80"
"19 Dec 2019","12223.40","12268.35","12191.15","12259.70"
"18 Dec 2019","12197.00","12237.70","12163.45","12221.65"
"17 Dec 2019","12082.45","12182.75","12070.35","12165"
"16 Dec 2019","12131.35","12134.65","12046.30","12053.95"
"13 Dec 2019","12026.40","12098.85","12023.60","12086.70"
"12 Dec 2019","11944.30","12005.50","11934.00","11971.80"
"11 Dec 2019","11867.35","11923.2","11832.3","11910.15"
"10 Dec 2019","11950.5","11953.2","11844.7","11856.8"
"09 Dec 2019","11939.1","11981.95","11888.05","11937.5"
"06 Dec 2019","12047.35","12057.05","11888.85","11921.50"
"05 Dec 2019","12071.25","12081.2","11998.75","12018.4"
"04 Dec 2019","11969.95","12054.7","11935.3","12043.2"
"03 Dec 2019","12067.65","12068.6","11956.4","11994.2"
"02 Dec 2019","12137.05","12137.15","12023.70","12048.20"
"29 Nov 2019","12146.20","12147.40","12017.40","12056.05"
"28 Nov 2019","12132.10","12158.80","12099.95","12151.15"
"27 Nov 2019","12068.50","12114.90","12055.15","12100.70"
"26 Nov 2019","12110.20","12132.45","12006.35","12037.70"
"25 Nov 2019","11922.45","12084.50","11919.75","12073.75"
"22 Nov 2019","11967.30","11968.10","11883.50","11914.40"
"21 Nov 2019","12025.65","12028.20","11956.90","11968.40"
"20 Nov 2019","12004.75","12038.60","11966.05","11999.10"
"19 Nov 2019","11919.45","11958.85","11881.75","11940.10"
"18 Nov 2019","11915.15","11946.20","11867.60","11884.50"
"15 Nov 2019","11904.20","11973.65","11879.25","11895.45"
"14 Nov 2019","11858.75","11895.65","11802.65","11872.10"
"13 Nov 2019","11908.30","11946.80","11823.20","11840.45"
"11 Nov 2019","11879.20","11932.65","11853.95","11913.45"
"08 Nov 2019","11987.15","12034.15","11888.75","11908.15"
"07 Nov 2019","12021.10","12021.40","11946.85","12012.05"
"06 Nov 2019","11911.50","12002.90","11850.25","11966.05"
"05 Nov 2019","11974.60","11978.95","11861.90","11917.20"
"04 Nov 2019","11928.90","11989.15","11905.35","11941.30"
"01 Nov 2019","11886.6","11918.3","11843.35","11890.6"
"31 Oct 2019","11890.45","11945.00","11855.10","11877.45"
"30 Oct 2019","11883.90","11883.95","11784.45","11844.10"
"29 Oct 2019","11643.95","11809.40","11627.35","11786.85"
"27 Oct 2019","11662.25","11672.40","11604.60","11627.15"
"25 Oct 2019","11646.15","11646.90","11490.75","11583.90"
"24 Oct 2019","11661.65","11679.60","11534.65","11582.60"
"23 Oct 2019","11596.20","11651.60","11554.40","11604.10"
"22 Oct 2019","11657.15","11714.35","11573.65","11588.35"
"18 Oct 2019","11580.30","11684.70","11553.15","11661.85"
"17 Oct 2019","11466.30","11599.10","11439.65","11586.35"
"16 Oct 2019","11464.95","11481.05","11411.10","11464.00"
"15 Oct 2019","11360.85","11462.35","11342.10","11428.30"
"14 Oct 2019","11335.90","11420.45","11290.05","11341.15"
"11 Oct 2019","11257.70","11362.90","11189.40","11305.05"
"10 Oct 2019","11280.50","11293.35","11208.55","11234.55"
"09 Oct 2019","11152.95","11321.60","11090.15","11313.30"
"07 Oct 2019","11196.20","11233.85","11112.65","11126.40"
"04 Oct 2019","11388.45","11400.30","11158.35","11174.75"
"03 Oct 2019","11322.25","11370.40","11257.35","11314.00"
"01 Oct 2019","11515.40","11554.20","11247.90","11359.90"
