Date,Close
01-Jan-2019,10910.10
02-Jan-2019,10792.50
03-Jan-2019,10672.25
04-Jan-2019,10727.35
07-Jan-2019,10771.80
08-Jan-2019,10802.15
09-Jan-2019,10855.15
10-Jan-2019,10821.60
11-Jan-2019,10794.95
14-Jan-2019,10737.60
15-Jan-2019,10886.80
16-Jan-2019,10890.30
17-Jan-2019,10905.20
18-Jan-2019,10906.95
21-Jan-2019,10961.85
22-Jan-2019,10922.75
23-Jan-2019,10831.50
24-Jan-2019,10849.80
25-Jan-2019,10780.55
28-Jan-2019,10661.55
29-Jan-2019,10652.20
30-Jan-2019,10651.80
31-Jan-2019,10830.95
01-Feb-2019,10893.65
04-Feb-2019,10912.25
05-Feb-2019,10934.35
06-Feb-2019,11062.45
07-Feb-2019,11069.40
08-Feb-2019,10943.60
11-Feb-2019,10888.80
12-Feb-2019,10831.40
13-Feb-2019,10793.65
14-Feb-2019,10746.05
15-Feb-2019,10724.40
18-Feb-2019,10640.95
19-Feb-2019,10604.35
20-Feb-2019,10735.45
21-Feb-2019,10789.85
22-Feb-2019,10791.65
25-Feb-2019,10880.10
26-Feb-2019,10835.30
27-Feb-2019,10806.65
28-Feb-2019,10792.50
01-Mar-2019,10863.50
05-Mar-2019,10987.45
06-Mar-2019,11053.00
07-Mar-2019,11058.20
08-Mar-2019,11035.40
11-Mar-2019,11168.05
12-Mar-2019,11301.20
13-Mar-2019,11341.70
14-Mar-2019,11343.25
15-Mar-2019,11426.85
18-Mar-2019,11462.20
19-Mar-2019,11532.40
20-Mar-2019,11521.05
22-Mar-2019,11456.90
25-Mar-2019,11354.25
26-Mar-2019,11483.25
27-Mar-2019,11445.05
28-Mar-2019,11570.00
29-Mar-2019,11623.90
01-Apr-2019,11669.15
02-Apr-2019,11713.20
03-Apr-2019,11643.95
04-Apr-2019,11598.00
05-Apr-2019,11665.95
08-Apr-2019,11604.50
09-Apr-2019,11671.95
10-Apr-2019,11584.30
11-Apr-2019,11596.70
12-Apr-2019,11643.45
15-Apr-2019,11690.35
16-Apr-2019,11787.15
18-Apr-2019,11752.80
22-Apr-2019,11594.45
23-Apr-2019,11575.95
24-Apr-2019,11726.15
25-Apr-2019,11641.80
26-Apr-2019,11754.65
30-Apr-2019,11748.15
02-May-2019,11724.75
03-May-2019,11712.25
06-May-2019,11598.25
07-May-2019,11497.90
08-May-2019,11359.45
09-May-2019,11301.80
10-May-2019,11278.90
13-May-2019,11148.20
14-May-2019,11222.05
15-May-2019,11157.00
16-May-2019,11257.10
17-May-2019,11407.15
20-May-2019,11828.25
21-May-2019,11709.10
22-May-2019,11737.90
23-May-2019,11657.05
24-May-2019,11844.10
27-May-2019,11924.75
28-May-2019,11928.75
29-May-2019,11861.10
30-May-2019,11945.90
31-May-2019,11922.80
03-Jun-2019,12088.55
04-Jun-2019,12021.65
06-Jun-2019,11843.75
07-Jun-2019,11870.65
10-Jun-2019,11922.70
11-Jun-2019,11965.60
12-Jun-2019,11906.20
13-Jun-2019,11914.05
14-Jun-2019,11823.30
17-Jun-2019,11672.15
18-Jun-2019,11691.50
19-Jun-2019,11691.45
20-Jun-2019,11831.75
21-Jun-2019,11724.10
24-Jun-2019,11699.65
25-Jun-2019,11796.45
26-Jun-2019,11847.55
27-Jun-2019,11841.55
28-Jun-2019,11788.85
01-Jul-2019,11865.60
02-Jul-2019,11910.30
03-Jul-2019,11916.75
04-Jul-2019,11946.75
05-Jul-2019,11811.15
08-Jul-2019,11558.60
09-Jul-2019,11555.90
10-Jul-2019,11498.90
11-Jul-2019,11582.90
12-Jul-2019,11552.50
15-Jul-2019,11588.35
16-Jul-2019,11662.60
17-Jul-2019,11687.50
18-Jul-2019,11596.90
19-Jul-2019,11419.25
22-Jul-2019,11346.20
23-Jul-2019,11331.05
24-Jul-2019,11271.30
25-Jul-2019,11252.15
26-Jul-2019,11284.30
29-Jul-2019,11189.20
30-Jul-2019,11085.40
31-Jul-2019,11118.00
01-Aug-2019,10980.00
02-Aug-2019,10997.35
05-Aug-2019,10862.60
06-Aug-2019,10948.25
07-Aug-2019,10855.50
08-Aug-2019,11032.45
09-Aug-2019,11109.65
13-Aug-2019,10925.85
14-Aug-2019,11029.40
16-Aug-2019,11047.80
19-Aug-2019,11053.90
20-Aug-2019,11017.00
21-Aug-2019,10918.70
22-Aug-2019,10741.35
23-Aug-2019,10829.35
26-Aug-2019,11057.85
27-Aug-2019,11105.35
28-Aug-2019,11046.10
29-Aug-2019,10948.30
30-Aug-2019,11023.25
03-Sep-2019,10797.90
04-Sep-2019,10844.65
05-Sep-2019,10847.90
06-Sep-2019,10946.20
09-Sep-2019,11003.05
11-Sep-2019,11035.70
12-Sep-2019,10982.80
13-Sep-2019,11075.90
16-Sep-2019,11003.50
17-Sep-2019,10817.60
18-Sep-2019,10840.65
19-Sep-2019,10704.80
20-Sep-2019,11274.20
23-Sep-2019,11600.20
24-Sep-2019,11588.20
25-Sep-2019,11440.20
26-Sep-2019,11571.20
27-Sep-2019,11512.40
30-Sep-2019,11474.45
01-Oct-2019,11359.90
03-Oct-2019,11314.00
04-Oct-2019,11174.75
07-Oct-2019,11126.40
09-Oct-2019,11313.30
10-Oct-2019,11234.55
11-Oct-2019,11305.05
14-Oct-2019,11341.15
15-Oct-2019,11428.30
16-Oct-2019,11464.00
17-Oct-2019,11586.35
18-Oct-2019,11661.85
22-Oct-2019,11588.35
23-Oct-2019,11604.10
24-Oct-2019,11582.60
25-Oct-2019,11583.90
27-Oct-2019,11627.15
29-Oct-2019,11786.85
30-Oct-2019,11844.10
31-Oct-2019,11877.45
01-Nov-2019,11890.60
04-Nov-2019,11941.30
05-Nov-2019,11917.20
06-Nov-2019,11966.05
07-Nov-2019,12012.05
08-Nov-2019,11908.15
11-Nov-2019,11913.45
13-Nov-2019,11840.45
14-Nov-2019,11872.10
15-Nov-2019,11895.45
18-Nov-2019,11884.50
19-Nov-2019,11940.10
20-Nov-2019,11999.10
21-Nov-2019,11968.40
22-Nov-2019,11914.40
25-Nov-2019,12073.75
26-Nov-2019,12037.70
27-Nov-2019,12100.70
28-Nov-2019,12151.15
29-Nov-2019,12056.05
